,precision,recall,f1-score,support,modelo,cenario,acc_train,acc_test
macro avg,0.7567768893398317,0.7548187283142231,0.739855005050029,2800.0,NaiveBayes,A_E,0.7648214285714285,0.7532142857142857
weighted avg,0.7568765876691415,0.7532142857142857,0.7390649989794938,2800.0,NaiveBayes,A_E,0.7648214285714285,0.7532142857142857
10,0.956140350877193,0.9544658493870403,0.9553023663453112,571.0,LogisticRegression,A_E,0.9653571428571428,0.9303571428571429
11,0.9195612431444241,0.8918439716312057,0.9054905490549054,564.0,LogisticRegression,A_E,0.9653571428571428,0.9303571428571429
12,0.9203539823008849,0.948905109489051,0.9344115004492363,548.0,LogisticRegression,A_E,0.9653571428571428,0.9303571428571429
13,0.9360146252285192,0.9429097605893186,0.9394495412844037,543.0,LogisticRegression,A_E,0.9653571428571428,0.9303571428571429
14,0.9194395796847635,0.9146341463414634,0.9170305676855895,574.0,LogisticRegression,A_E,0.9653571428571428,0.9303571428571429
accuracy,0.9303571428571429,0.9303571428571429,0.9303571428571429,0.9303571428571429,LogisticRegression,A_E,0.9653571428571428,0.9303571428571429
macro avg,0.9303019562471571,0.9305517674876158,0.9303369049638892,2800.0,LogisticRegression,A_E,0.9653571428571428,0.9303571428571429
weighted avg,0.9303417585797706,0.9303571428571429,0.9302601678090288,2800.0,LogisticRegression,A_E,0.9653571428571428,0.9303571428571429
10,0.9774305555555556,0.9859894921190894,0.981691368788143,571.0,SVM,A_E,0.9896428571428572,0.9785714285714285
11,0.9819819819819819,0.9663120567375887,0.9740840035746202,564.0,SVM,A_E,0.9896428571428572,0.9785714285714285
12,0.9763636363636363,0.9799270072992701,0.9781420765027322,548.0,SVM,A_E,0.9896428571428572,0.9785714285714285
13,0.976491862567812,0.994475138121547,0.9854014598540146,543.0,SVM,A_E,0.9896428571428572,0.9785714285714285
14,0.980565371024735,0.9668989547038328,0.9736842105263158,574.0,SVM,A_E,0.9896428571428572,0.9785714285714285
accuracy,0.9785714285714285,0.9785714285714285,0.9785714285714285,0.9785714285714285,SVM,A_E,0.9896428571428572,0.9785714285714285
macro avg,0.9785666814987442,0.9787205297962656,0.9786006238491651,2800.0,SVM,A_E,0.9896428571428572,0.9785714285714285
weighted avg,0.9785991293320903,0.9785714285714285,0.9785424060930172,2800.0,SVM,A_E,0.9896428571428572,0.9785714285714285
10,0.9911504424778761,0.9807355516637478,0.9859154929577465,571.0,MLP,A_E,1.0,0.9771428571428571
11,0.9803220035778175,0.9716312056737588,0.9759572573463936,564.0,MLP,A_E,1.0,0.9771428571428571
12,0.9657657657657658,0.9781021897810219,0.971894832275612,548.0,MLP,A_E,1.0,0.9771428571428571
13,0.969147005444646,0.9834254143646409,0.9762340036563071,543.0,MLP,A_E,1.0,0.9771428571428571
14,0.9789473684210527,0.9721254355400697,0.9755244755244755,574.0,MLP,A_E,1.0,0.9771428571428571
accuracy,0.9771428571428571,0.9771428571428571,0.9771428571428571,0.9771428571428571,MLP,A_E,1.0,0.9771428571428571
macro avg,0.9770665171374316,0.9772039594046478,0.977105212352107,2800.0,MLP,A_E,1.0,0.9771428571428571
weighted avg,0.9772324163366154,0.9771428571428571,0.9771579002306064,2800.0,MLP,A_E,1.0,0.9771428571428571
